MP_Concentration,MP_Size,Exposure_Time,Cetobacterium_Present,Rhizobiales_Present
1000.0,115.62,7,1,0
1000.0,115.62,7,1,0
1000.0,115.62,7,1,0
1000.0,0.1,14,0,1
1000.0,0.1,14,0,1
1000.0,0.1,14,0,0
1000.0,0.1,14,0,1
100.0,0.1,14,0,0
100.0,0.1,14,0,0
100.0,0.1,14,0,1
100.0,0.1,14,0,0
100.0,115.62,7,1,0
100.0,115.62,7,1,0
100.0,115.62,7,1,0
10.0,115.62,7,1,0
10.0,115.62,7,1,0
10.0,115.62,7,1,0
1.0,115.62,7,1,0
1.0,115.62,7,1,0
1.0,115.62,7,1,0
128.0749484536082,350.0,30,0,0
128.0749484536082,350.0,30,0,0
128.0749484536082,350.0,30,0,0
128.0749484536082,350.0,30,0,0
128.0749484536082,350.0,30,0,0
128.0749484536082,350.0,30,0,0
128.0749484536082,350.0,30,0,0
128.0749484536082,350.0,30,0,0
128.0749484536082,200.0,28,0,0
128.0749484536082,200.0,28,0,0
128.0749484536082,200.0,28,0,0
128.0749484536082,200.0,28,0,0
128.0749484536082,200.0,28,0,0
128.0749484536082,2.0,28,0,0
128.0749484536082,2.0,28,0,0
128.0749484536082,2.0,28,0,0
128.0749484536082,2.0,28,0,0
128.0749484536082,2.0,28,0,0
128.0749484536082,750.5,30,0,0
128.0749484536082,750.5,30,0,0
128.0749484536082,750.5,30,0,0
128.0749484536082,750.5,30,0,0
128.0749484536082,750.5,30,0,0
128.0749484536082,750.5,30,0,0
128.0749484536082,750.5,30,0,0
128.0749484536082,750.5,30,0,0
1000.0,50.0,14,0,0
1000.0,50.0,14,1,0
1000.0,50.0,14,0,0
1000.0,50.0,14,0,0
100.0,50.0,14,1,0
100.0,50.0,14,1,0
100.0,50.0,14,0,0
100.0,50.0,14,0,0
1.0,0.08,14,1,1
1.0,0.08,14,1,1
1.0,0.08,14,1,1
1.0,0.08,14,1,1
1.0,0.08,14,1,1
1.0,0.08,14,1,1
440.0,650.0,21,1,0
440.0,650.0,21,1,0
128.0749484536082,650.0,21,1,0
128.0749484536082,493.5529661290322,30,0,1
128.0749484536082,493.5529661290322,30,1,1
128.0749484536082,493.5529661290322,30,0,0
128.0749484536082,493.5529661290322,30,1,0
5.14,0.08,21,1,1
5.14,0.08,21,1,1
5.14,0.08,21,1,1
440.0,650.0,21,1,1
440.0,650.0,21,1,1
20.0,650.0,96,1,0
1.0,650.0,14,1,1
440.0,650.0,21,1,1
440.0,650.0,21,1,1
20.0,650.0,96,1,1
1.0,650.0,14,1,1
440.0,650.0,21,1,1
440.0,650.0,21,1,1
20.0,650.0,96,0,1
1.0,650.0,14,1,1
128.0749484536082,650.0,63,1,1
1.0,650.0,14,1,1
128.0749484536082,650.0,63,1,1
1.0,650.0,14,1,1
128.0749484536082,650.0,63,1,1
1.0,650.0,14,1,1
128.0749484536082,650.0,63,1,1
128.0749484536082,650.0,63,1,1
128.0749484536082,650.0,63,1,1
128.0749484536082,650.0,30,1,1
128.0749484536082,650.0,30,1,0
128.0749484536082,650.0,30,1,0
128.0749484536082,650.0,30,1,0
128.0749484536082,650.0,30,1,1
128.0749484536082,650.0,7,1,0
128.0749484536082,650.0,30,1,1
128.0749484536082,650.0,30,1,1
128.0749484536082,650.0,30,1,1
128.0749484536082,650.0,30,1,1
128.0749484536082,650.0,30,1,1
5.14,0.08,21,1,0
100.0,650.0,14,0,0
128.0749484536082,650.0,30,0,0
128.0749484536082,650.0,28,0,0
1.0,115.62,7,1,0
1.0,0.0505,14,1,0
1.0,0.0505,14,1,0
5.14,0.08,21,0,0
100.0,650.0,14,0,0
128.0749484536082,650.0,30,0,0
128.0749484536082,650.0,28,0,0
1.0,115.62,7,1,0
1.0,0.0505,14,1,0
100.0,650.0,14,0,0
128.0749484536082,650.0,30,0,0
128.0749484536082,650.0,28,0,0
1.0,115.62,7,1,0
1.0,0.0505,14,1,0
100.0,650.0,14,0,0
128.0749484536082,650.0,30,0,0
128.0749484536082,650.0,28,0,0
128.0749484536082,650.0,30,0,0
128.0749484536082,650.0,28,0,0
128.0749484536082,650.0,30,0,0
128.0749484536082,650.0,30,0,0
128.0749484536082,650.0,30,0,0
36.0,650.0,90,1,1
36.0,650.0,90,1,1
36.0,650.0,90,1,1
36.0,650.0,90,1,1
36.0,650.0,90,0,1
36.0,650.0,90,1,1
50.0,650.0,14,1,0
50.0,650.0,14,1,0
50.0,650.0,14,1,0
50.0,650.0,14,1,0
50.0,650.0,14,1,0
128.0749484536082,650.0,63,1,1
128.0749484536082,650.0,63,1,1
128.0749484536082,650.0,63,1,1
128.0749484536082,650.0,63,1,1
128.0749484536082,650.0,63,1,1
128.0749484536082,650.0,63,1,1
128.0749484536082,650.0,63,1,1
128.0749484536082,650.0,63,1,1
128.0749484536082,650.0,63,1,1
128.0749484536082,650.0,63,1,1
128.0749484536082,650.0,63,1,1
128.0749484536082,650.0,63,1,1
128.0749484536082,650.0,63,1,1
128.0749484536082,650.0,63,1,1
128.0749484536082,650.0,63,1,1
128.0749484536082,650.0,63,1,1
128.0749484536082,650.0,63,1,1
128.0749484536082,650.0,63,1,1
128.0749484536082,650.0,63,1,1
128.0749484536082,650.0,63,1,1
128.0749484536082,650.0,63,1,1
128.0749484536082,650.0,63,1,1
128.0749484536082,650.0,63,1,1
128.0749484536082,650.0,63,1,1
128.0749484536082,650.0,63,1,1
128.0749484536082,650.0,63,1,1
128.0749484536082,650.0,63,1,1
128.0749484536082,650.0,63,1,1
128.0749484536082,650.0,63,1,1
128.0749484536082,650.0,63,1,1
128.0749484536082,650.0,63,1,1
128.0749484536082,650.0,63,1,1
128.0749484536082,650.0,63,1,1
128.0749484536082,650.0,63,1,1
128.0749484536082,650.0,63,1,1
50.0,650.0,14,1,0
50.0,650.0,14,1,0
50.0,650.0,14,1,0
50.0,650.0,14,1,0
50.0,650.0,14,1,0
50.0,650.0,14,1,0
50.0,650.0,14,1,0
50.0,650.0,14,1,0
50.0,650.0,14,1,0
50.0,650.0,14,1,0
100.0,650.0,21,0,0
100.0,650.0,21,0,1
100.0,650.0,21,0,0
100.0,650.0,21,0,1
100.0,650.0,21,0,1
100.0,650.0,21,0,1
100.0,650.0,21,0,0
100.0,650.0,21,0,1
100.0,650.0,21,0,0
100.0,650.0,21,0,1
100.0,650.0,21,0,1
100.0,650.0,21,0,1
100.0,650.0,21,0,1
100.0,650.0,21,0,1
100.0,650.0,21,0,0
100.0,650.0,21,0,1
100.0,650.0,21,0,0
100.0,650.0,21,0,1
100.0,650.0,21,0,1
100.0,650.0,21,0,0
100.0,650.0,21,0,0
100.0,650.0,21,0,1
100.0,650.0,21,0,0
100.0,650.0,21,0,1
100.0,650.0,21,0,0
100.0,650.0,21,0,1
100.0,650.0,21,0,0
100.0,650.0,21,0,1
100.0,650.0,21,0,0
100.0,650.0,21,0,1
100.0,650.0,21,0,0
100.0,650.0,21,0,1
128.0749484536082,650.0,28,1,0
2.5,650.0,28,1,0
2.5,650.0,28,1,0
2.5,650.0,28,1,0
2.5,650.0,28,1,0
2.5,650.0,28,1,0
2.5,650.0,96,1,1
20.0,650.0,96,1,1
20.0,650.0,96,1,1
20.0,650.0,30,1,0
128.0749484536082,650.0,30,1,0
128.0749484536082,650.0,30,1,0
128.0749484536082,650.0,30,1,1
128.0749484536082,650.0,30,1,0
128.0749484536082,650.0,30,1,1
128.0749484536082,650.0,30,1,0
128.0749484536082,650.0,30,1,1
128.0749484536082,650.0,30,1,1
128.0749484536082,650.0,30,1,1
128.0749484536082,650.0,30,1,1
128.0749484536082,650.0,30,1,0
128.0749484536082,650.0,30,1,1
128.0749484536082,650.0,30,1,1
128.0749484536082,650.0,30,1,1
128.0749484536082,650.0,30,1,1
128.0749484536082,650.0,30,1,1
128.0749484536082,650.0,30,1,1
128.0749484536082,650.0,30,1,1
128.0749484536082,650.0,30,1,1
20.0,650.0,28,1,0
20.0,650.0,28,1,0
36.0,650.0,90,0,1
36.0,650.0,90,0,1
36.0,650.0,90,0,1
36.0,650.0,90,1,1
36.0,650.0,90,0,1
36.0,650.0,90,0,1
36.0,650.0,90,1,1
36.0,650.0,90,1,1
36.0,650.0,90,1,1
36.0,650.0,90,0,1
36.0,650.0,90,1,1
36.0,650.0,90,1,1
50.0,650.0,14,1,0
50.0,650.0,14,1,0
50.0,650.0,14,1,0
50.0,650.0,14,1,0
50.0,650.0,14,1,0
80.0,650.0,28,1,1
80.0,650.0,28,1,0
80.0,650.0,28,1,1
1.0,0.0505,14,0,0
1.0,0.0505,14,0,0
1.0,0.0505,14,0,0
1.0,0.0505,14,0,0
80.0,650.0,28,1,1
80.0,650.0,28,1,1
80.0,650.0,28,1,1
1.0,0.0505,14,1,0
1.0,0.0505,14,0,0
1.0,0.0505,14,1,0
1.0,0.0505,14,1,0
5.14,0.08,21,1,1
5.14,0.08,21,1,1
5.14,0.08,21,1,1
5.14,0.08,21,0,1
5.14,0.08,21,0,1
5.14,0.08,21,1,1
20.0,650.0,96,0,1
20.0,650.0,96,0,1
20.0,650.0,96,0,0
1.0,0.0505,14,0,0
1.0,0.0505,14,0,0
1.0,0.0505,14,0,0
1.0,0.0505,14,0,0
1.0,0.0505,14,0,0
1.0,0.0505,14,0,0
1.0,0.0505,14,0,0
50.0,650.0,14,1,0
50.0,650.0,14,1,0
50.0,650.0,14,1,0
50.0,650.0,14,1,0
50.0,650.0,14,1,0
50.0,650.0,14,1,0
50.0,650.0,14,1,0
50.0,650.0,14,1,0
50.0,650.0,14,1,0
50.0,650.0,14,1,0
440.0,650.0,21,1,0
440.0,650.0,21,1,0
440.0,650.0,21,1,0
440.0,650.0,21,1,0
440.0,650.0,21,1,0
440.0,650.0,21,1,0
128.0749484536082,650.0,7,1,0
128.0749484536082,650.0,63,1,1
128.0749484536082,493.5529661290322,30,0,0
128.0749484536082,493.5529661290322,30,0,0
128.0749484536082,493.5529661290322,30,0,0
128.0749484536082,493.5529661290322,30,0,0
128.0749484536082,493.5529661290322,30,1,1
128.0749484536082,493.5529661290322,30,0,0
128.0749484536082,493.5529661290322,30,0,1
128.0749484536082,493.5529661290322,30,0,0
128.0749484536082,650.0,7,1,0
128.0749484536082,650.0,7,1,0
